step,max_dx,mean_dx,max_v,mean_v,min_y,max_y,n_inf
0,0.04686051421850044,0.005795269177473047,0.2820280178936935,0.1344143736985921,0.046875,0.19975702742100263,0
1,0.0005149784773138356,0.00018953289725809447,0.2018791633992521,0.06219673544521846,0.046875,0.19959456552460622,0
2,0.0002488102296386939,7.15004729133074e-05,0.24795080001169845,0.09042069126552071,0.046875,0.19961344434999498,0
3,0.0006626130386931152,0.0001874768781971358,0.41942126763657617,0.08164685252915585,0.046877409846190765,0.1997980296841134,0
4,0.00029585206353177927,4.664990461343574e-05,0.1373378584865264,0.045406702950544185,0.04687676450001457,0.19990880753236465,0
5,0.0006044563234410918,0.00015620006531606267,0.3985994618031304,0.0900950617521446,0.04687574126874457,0.19965981999330767,0
6,0.00046645003601146565,9.207088347499698e-05,0.08654515698254701,0.02281176864143321,0.046875,0.19960198367795542,0
7,0.0005404861605146007,0.00010373562571490473,0.38479823920981815,0.08244530918308232,0.04687517767184705,0.19966640648118414,0
8,0.00043431761624962157,0.0001312849383759301,0.09878634813196097,0.04191588066538168,0.046877042063456956,0.19986170718130286,0
9,0.0003475658167903445,4.9488030578683064e-05,0.2630965530016452,0.0653896172101857,0.04687770186325382,0.1997563854267202,0
10,0.0003779153245575795,0.0001445094002160572,0.15600027815521839,0.06250873183875587,0.04687581317952593,0.19963015957690597,0
11,0.00017974097188267504,2.9693604943132366e-05,0.15275775041289144,0.04236495188685295,0.0468751055953075,0.19959943170002362,0
12,0.00031417417971411367,0.00012944665153714568,0.1960954733209509,0.07027846140288532,0.046876613737326024,0.19972843812007912,0
13,0.00021718319028854702,6.017609513760874e-05,0.08542755680653538,0.01870435571242901,0.04687748020188686,0.19977713767240027,0
14,0.00024281183695487984,9.618079962389904e-05,0.1837744104718909,0.06648369834025603,0.04687660429023445,0.1996746242604298,0
15,0.00038127626927283585,8.50417032101929e-05,0.18199283939894723,0.0179262230046477,0.04687569137284911,0.19961470395328618,0
16,0.00013206690542793919,5.1858022208370834e-05,0.18579907081278987,0.05179991029110615,0.04687597533786688,0.19967695499298688,0
17,0.0004562882846120795,9.353067930142252e-05,0.2100052200369505,0.03362547337345156,0.04687685652336798,0.19973737800096877,0
18,6.322477572155622e-05,1.4878772853181435e-05,0.17143007281082587,0.03239572691105273,0.046877036000286275,0.19972493146765835,0
19,0.0004007112145358303,8.688546978373061e-05,0.18300294562808087,0.04479339673116704,0.04687631852966527,0.19966812843295337,0
20,0.00013845599484270653,3.797248847917003e-05,0.1223321601623996,0.015328098997232845,0.04687585649433303,0.19963431521395905,0
21,0.000300581461262162,6.7553931193892e-05,0.14771083921725983,0.04751353864895165,0.04687622003110024,0.19968625411446367,0
22,0.00020365342291102278,6.337551948711718e-05,0.05816332470190942,0.014214514770460866,0.04687690346439216,0.1997453185776397,0
23,0.00017564775092890035,4.131759003002295e-05,0.12214354101228751,0.0420660061938979,0.046876892877530524,0.19970720645433496,0
24,0.00024194526480752826,7.400954108282846e-05,0.09174295768848366,0.02436831485675989,0.04687609352054847,0.19964049409216372,0
25,5.90326630761285e-05,1.5715718755566964e-05,0.08739913703845537,0.030481667333769485,0.04687584953789815,0.19965873995338235,0
26,0.00023436177903934778,7.054248926765747e-05,0.12409700181611562,0.03185632543470896,0.046876629242768794,0.19972072157693246,0
27,0.0001304730539091011,1.831070664324425e-05,0.04432152727265617,0.016258226894669638,0.04687698841845937,0.19972246317059256,0
28,0.00020083110502585745,5.638738479849095e-05,0.14087919634525625,0.033643974301503884,0.04687638261954184,0.19967392951787905,0
29,0.00018747570802969457,3.689697875975565e-05,0.04801733141757353,0.006143392033684707,0.04687601371374102,0.19965311327788982,0
30,0.00014166963542147268,3.5314870643465107e-05,0.1307059687735138,0.029943083750549312,0.046876314364571375,0.19968505535430156,0
31,0.0002051725481921416,4.771679392869352e-05,0.06414656343348515,0.01361412604198606,0.04687666072280997,0.19971834021052057,0
32,8.662629891793915e-05,1.4297505696115037e-05,0.10311783389242266,0.022277391148621855,0.04687669659934054,0.1997050729209479,0
33,0.0001995248869306161,4.926708591008508e-05,0.07711780618917585,0.02196157527009625,0.046876376558811154,0.19966730414475525,0
34,4.26355405063833e-05,1.34438222944291e-05,0.06854822126627699,0.012460615721978135,0.046876067243421,0.19966201411603252,0
35,0.00016415614436987198,4.263227067134037e-05,0.08752661884996499,0.02554446110915191,0.04687635661479307,0.19969675250477506,0
36,9.078320449186624e-05,2.684933712377696e-05,0.029914493734928597,0.004802003990263738,0.04687680256007852,0.19971631362189363,0
37,0.00010954553952859073,3.058719696586459e-05,0.08472312463062788,0.024339904309519572,0.046876578803404644,0.19968982897483661,0
38,0.00012611773918800917,3.541689798526773e-05,0.030513677499337866,0.008277745896345,0.04687613396221486,0.19966192977963593,0
39,5.4806402513094765e-05,1.6066141240695668e-05,0.06865629379938733,0.01921020197052904,0.04687624411547528,0.1996783703085759,0
40,0.0001435791700527842,3.7038835680763684e-05,0.06318147610530965,0.014141298872358933,0.04687660033335387,0.19970747922951476,0
41,4.5202749182746275e-05,6.394399496465556e-06,0.043951796770095544,0.011788866232504363,0.046876628333221794,0.19970150558019098,0
42,0.00013804427881821356,3.260802845378076e-05,0.08265363643632856,0.017031266648632293,0.04687639458425207,0.19967661223478775,0
43,8.188792860076243e-05,1.4238135453792295e-05,0.022284381225129993,0.004082007111112733,0.04687624060182985,0.1996718910236108,0
44,0.00011189749447300542,2.364390135267023e-05,0.08222897812159244,0.016847755514782358,0.04687635042417326,0.1996893156033771,0
45,0.00010271077275411723,2.2915560912820433e-05,0.01507561969856817,0.004783027854579765,0.04687658607179673,0.19970306480153635,0
46,7.200390278600135e-05,1.2576247194673059e-05,0.06587615526195184,0.014081946697473263,0.04687658568768679,0.199694682785551,0
47,0.00010204961109702567,2.6766890400673417e-05,0.028882141748063684,0.010027895167539847,0.046876330628955604,0.19967513479173374,0
48,3.021106943177662e-05,5.03186742825974e-06,0.040461237747833785,0.00947620687915597,0.04687623785453737,0.1996748853829987,0
49,8.884883845834177e-05,2.5528557753443004e-05,0.0407783318328207,0.012970321213126468,0.046876459254726756,0.19969541156869358,0
50,2.6662665890473397e-05,9.520462220062101e-06,0.01637419784065064,0.004343754972196385,0.0468766199349747,0.1997019009977175,0
51,7.016451634145241e-05,2.0238294506079204e-05,0.046511341403894915,0.013260023831722055,0.04687646330474591,0.19968497863628196,0
52,6.305574549332248e-05,1.5739980955817528e-05,0.013175786700658273,0.0022326647319039646,0.046876271036448605,0.19967474311329028,0
53,4.634596320595972e-05,1.2453322046041345e-05,0.04402038053251022,0.011325502298719795,0.04687635143921177,0.19968543266586683,0
54,8.315497195897957e-05,1.8661589968987007e-05,0.030133521097721362,0.0056670786888010465,0.0468765356812099,0.19969709312818335,0
55,1.941165459445854e-05,4.279887097900882e-06,0.033559683766767774,0.007940414794445743,0.04687652961911556,0.19969332292538416,0
56,8.25543532389345e-05,1.8313314186364837e-05,0.038065898960679745,0.00832510354097574,0.04687638688750235,0.19968183287614616,0
57,1.9547337939267466e-05,4.592307667083439e-06,0.019170423359089233,0.0039048492079548766,0.04687632559776679,0.19967907241002536,0
58,6.568609808799872e-05,1.5163070232039555e-05,0.03745828733469333,0.009290540447388378,0.046876407966820396,0.199688843756672,0
59,3.5649036372474386e-05,1.0282631705217104e-05,0.011166840550788334,0.0014638435728826114,0.046876522972008325,0.19969663144265615,0
60,4.4129588765697034e-05,1.0094023159992206e-05,0.031612761862527365,0.008622218760984643,0.04687650273697015,0.19969015445433158,0
61,4.504282908991268e-05,1.3632953488939809e-05,0.010303100070641794,0.003821266984905432,0.04687635748315371,0.19967947167582864,0
62,2.4826447927882834e-05,4.264978038608629e-06,0.022739217228000295,0.0066190499450323554,0.04687632622924658,0.19968163164340136,0
63,4.652615945257547e-05,1.4162842518044608e-05,0.019098564825400812,0.005939975102417087,0.046876471233800746,0.1996926121503619,0
64,1.0963834183346937e-05,2.285463828579115e-06,0.014307750475453372,0.0038814707406063876,0.04687653635734214,0.1996944825730115,0
65,4.083421807884888e-05,1.2263748368933805e-05,0.023778809238780434,0.006796602512832197,0.04687642099756256,0.19968531479718943,0
66,2.4863330589386753e-05,6.230054606437138e-06,0.0049977679632252844,0.0013416525212421255,0.04687633945262993,0.1996804908661874,0
67,3.0242466164216708e-05,8.686107607252557e-06,0.02348731278809499,0.006433079183768888,0.046876405700232424,0.19968664667248712,0
68,3.570574400296999e-05,8.938538786556236e-06,0.01067656095878293,0.0018502323431390877,0.04687649047462871,0.199693028711144,0
69,1.9600607542709357e-05,4.360559983092171e-06,0.021163888433774026,0.005127690760790025,0.046876477990874355,0.1996903024791819,0
70,3.79821331268865e-05,9.840787642255924e-06,0.014296761799854039,0.0037196499549966987,0.04687639989077622,0.19968341281409704,0
71,8.598741376563677e-06,1.5854982051151726e-06,0.016418498152510067,0.003233450272079705,0.04687636559241716,0.19968262588466715,0
72,3.6492453160316396e-05,9.052105233055963e-06,0.015522191515710606,0.004748724923361876,0.04687642833074916,0.19968903281669292,0
73,1.284846588655238e-05,3.9606602867921725e-06,0.009839159368427849,0.0012655470027359752,0.04687649487926979,0.19969286999562355,0
74,2.88482023087724e-05,6.957728496005355e-06,0.015293033065772312,0.004864634293977368,0.046876455418998625,0.19968792547500122,0
75,1.8077613992956212e-05,6.325339337760006e-06,0.004306315263983219,0.0011075144966338107,0.046876374056145684,0.19968204165849474,0
76,1.803613209999838e-05,4.030835471195042e-06,0.013122219522248157,0.004141090753616632,0.0468763852890711,0.199684749103953,0
77,2.133445421704091e-05,7.311879217638512e-06,0.008248300520399376,0.00243538135178886,0.046876464824881274,0.19969117120821808,0
78,6.573105762051993e-06,1.3460209397413835e-06,0.009839998688542675,0.0028464248483443173,0.046876480740218156,0.1996908279739892,0
79,2.2750294992727925e-05,6.9343610365968895e-06,0.010943278873620869,0.0032735421746647665,0.046876416006045495,0.19968517166692817,0
80,1.0683841959724607e-05,2.0232116431232106e-06,0.005364385350583699,0.001310537532742449,0.04687637953571866,0.19968347653432084,0
81,2.1860480309140067e-05,5.492221773122938e-06,0.013706244238181908,0.003458180638527058,0.046876421561691146,0.19968762490589043,0
