sigma_y,sequence_id,grip_index,midpoint_x,midpoint_z,angle_deg,target_gap,gripper_rate,actual_gap_f29,compression_RMS,residual_RMS,normalized_residual,recovery_ratio,max_disp_f29,max_step_disp,min_finger_clearance,finger_pin_distance,analytic_pin_distance,both_fingers_contact,one_finger_contact,first_contact_frame,max_contact_particles,width_margin,height_ratio_f39,height_ratio_vs_episode_initial,quality_class
500.0,0,0,0.49506391044688197,0.4724993045209153,171.42921255228464,0.07067678262361633,0.01065538695627306,0.07067678262362778,0.02651304648180396,0.025657389960192494,0.9677269633197865,0.03227303668021353,0.0868038717703662,0.019227625091201104,-0.015647231865428154,0.0061060105457013195,0.006106010545688635,True,False,"[21, 22]","[739, 679]",0.17667143644755717,1.139708827832698,1.139708827832698,GOOD
500.0,0,1,0.4750180785761658,0.5282152066390036,142.66491845628934,0.08051210913850157,0.010491464847691642,0.08051210913848106,0.029819277832059114,0.027563229516790848,0.92434262399062,0.07565737600938005,0.12811403684550043,0.015227844005084316,-0.01873014161149934,0.020662283489202966,0.020662283489202522,True,False,"[16, 23]","[775, 356]",0.14862505993624897,1.0320547142151897,1.1762418685974039,GOOD
500.0,0,2,0.48333649642413257,0.49176816928465616,44.621815916433725,0.10210033765555031,0.010131661039074162,0.10210033765551879,0.04541090181065438,0.04167476712969599,0.9177260408406641,0.08227395915933589,0.1332895806523287,0.012360531072640945,-0.018162729655206322,0.02167035748763433,0.0216703574876373,True,False,"[16, 15]","[849, 804]",0.2341816306493038,1.071442497445788,1.2602755252903028,GOOD
500.0,0,3,0.5152109450185506,0.49732576506814036,112.98344250218018,0.1070508584078984,0.010049152359868361,0.10705085840791007,0.030276804662208466,0.026474865504210337,0.8744273314038415,0.12557266859615845,0.12161749378962927,0.017534995860951145,-0.011777168158303555,0.026231808097229505,0.0262318080972229,True,False,"[21, 17]","[513, 728]",0.19672984099327384,1.064961726402304,1.3421451991557314,GOOD
500.0,0,4,0.49568638353316335,0.507668014955491,155.57025490603073,0.1289690606551085,0.009683848989081527,0.1289690606551211,0.018025912816625144,0.01522056275102319,0.8443712618528475,0.1556287381471525,0.08451967308505778,0.01516301122558276,-0.011899483610949002,0.03908118960317867,0.03908118960317775,True,False,"[23, 17]","[483, 567]",0.17022804866069707,1.006981497895553,1.3515153830391635,GOOD
500.0,1,0,0.5105284057222663,0.5238459453050804,151.3930816491546,0.12635406665808527,0.009727432222365247,0.1263540666581197,0.022398549591464846,0.020175171066162574,0.9007356027128869,0.09926439728711312,0.08463733962157477,0.01352621124727377,-0.015244696707581325,0.018948047146102952,0.018948047146106838,True,False,"[22, 20]","[512, 730]",0.1636271000564304,1.136319405418948,1.136319405418948,GOOD
500.0,1,1,0.5001237047829932,0.4949687208449459,125.84171546405081,0.07903171810914861,0.01051613803151419,0.07903171810916465,0.03850289032220898,0.034527131987319444,0.8967413017147893,0.10325869828521073,0.116604431085518,0.012395089471213388,-0.01643521419389968,0.01056736266723534,0.010567362667217271,True,False,"[18, 19]","[732, 718]",0.21917963293740955,1.0900708254556155,1.2386686322462668,GOOD
500.0,1,2,0.5109291032655832,0.4890380438272712,112.35155622083498,0.08677427776938813,0.010387095370510198,0.08677427776939639,0.01965355677838935,0.02011687084513302,1.0235740569489755,-0.02357405694897552,0.06188024088429097,0.012031208984597096,-0.00974362446199404,0.013632565910701631,0.013632565910697649,True,False,"[23, 23]","[382, 308]",0.12256670988857525,1.0127458856067824,1.2544565609375873,GOOD
500.0,1,3,0.5099742891256476,0.4890589095200625,55.90525648893087,0.09978669658510389,0.010170221723581603,0.09978669658509318,0.03656189527133727,0.033928026210787464,0.927961364119583,0.07203863588041703,0.10893004211205976,0.012646251146872258,-0.012559056476635258,0.010269861426287254,0.010269861426314954,True,False,"[18, 21]","[754, 568]",0.17515239016100367,1.0727700379961826,1.345743412541576,GOOD
500.0,1,4,0.5012677713571877,0.5221143669579419,118.71308513616324,0.118424692227762,0.009859588462870635,0.11842469222774549,0.023039387152436523,0.02349051882922344,1.0195808887537707,-0.01958088875377073,0.08927024818476935,0.015743705963116503,-0.01071203846651849,0.014743741827368033,0.01474374182736151,True,False,"[25, 20]","[179, 532]",0.12667929267761438,1.0073916302389962,1.3556906502436483,GOOD
500.0,2,0,0.47345081548875434,0.5076199204167405,169.55888408393318,0.11019319110428154,0.009996780148261974,0.11019319110429046,0.02254938790327112,0.021158042194343255,0.9382978502611137,0.061702149738886325,0.08962985493621164,0.01395586929394763,-0.016479102063353252,0.006365846162104789,0.0063658461621012505,True,False,"[20, 25]","[718, 404]",0.13550222398526007,1.1345908595038374,1.1345908595038374,GOOD
