sequence_id,grip_index,gap_quantile,midpoint_x,midpoint_z,angle_deg,target_gap,actual_gap_f29,compression_RMS,residual_RMS,normalized_residual,max_disp_f29,min_finger_clearance,finger_pin_distance,analytic_pin_distance,both_fingers_contact,first_contact_frame,max_contact_particles,height_ratio_f39,height_ratio_vs_episode_initial,max_step_disp,quality_class
0,0,0,0.4815580380185967,0.5252720446975687,128.10726600138506,0.07089097872922209,0.070890978729193,0.035720395006725573,0.03301435789631589,0.9242439197578812,0.1345703508297142,-0.022595306429929726,0.00798715231490841,0.007987152314902539,True,"[20, 16]","[721, 877]",1.170597349170622,1.170597349170622,0.01983662619783785,GOOD
0,1,1,0.5048155703032918,0.49409770223724947,147.22622522124104,0.08423405172359756,0.08423405172360701,0.023474607973782244,0.0219099454953465,0.9333465981547702,0.09157164902414695,-0.010932666909016668,0.016594549495942225,0.016594549495930415,True,"[20, 24]","[670, 337]",1.047360573590307,1.2260375110706359,0.012297474205409383,GOOD
0,2,2,0.4857911008115387,0.5079842757095988,2.160748148491411,0.10853859798512533,0.10853859798512042,0.03037348089233707,0.033041550725455594,1.0878420831176994,0.07965182122862959,-0.011468866985505352,0.015095589792753737,0.015095589792756388,True,"[22, 21]","[451, 481]",1.0197364799863418,1.2502351758703856,0.014667691734499,GOOD
0,3,3,0.4746042933985601,0.5054906757036675,57.02300007092991,0.11340437527604005,0.11340437527602876,0.04798270666848443,0.0441940314592787,0.9210408192396914,0.15225042392736923,-0.014728730220033827,0.015263609264258925,0.015263609264252444,True,"[16, 13]","[763, 885]",1.063551939584389,1.3296900462335783,0.0159505227245291,GOOD
0,4,4,0.5251817453437567,0.4710866086543042,2.1378275107599887,0.12260255870378314,0.12260255870376957,0.0274981157314419,0.026158277917499476,0.9512752863858804,0.08615857548831428,-0.012283368755200086,0.014798481988481361,0.014798481988471411,True,"[20, 27]","[529, 143]",1.0288464863513673,1.3680469320038042,0.01522550022109451,GOOD
1,0,4,0.4757721656652725,0.4903580109492635,158.83327800548673,0.12440301903701545,0.12440301903699064,0.02248067606917092,0.02022600709892686,0.89970635387892,0.08965718006830845,-0.01580768843386376,0.01112704422814035,0.01112704422817317,True,"[20, 25]","[733, 383]",1.1291980309685647,1.1291980309685647,0.012908430350473649,GOOD
1,1,0,0.5038787227265104,0.5097418733904455,7.981622515681442,0.07781117588817471,0.07781117588816314,0.03157428876277185,0.029301851542033776,0.9280288706481513,0.08918942979378079,-0.012412411582466275,0.012051867337742585,0.012051867337737741,True,"[21, 23]","[611, 456]",1.041243551409617,1.175770168010455,0.015608438475428834,GOOD
1,2,1,0.48048884491313915,0.4928445817030151,113.00282398903903,0.08980810702224452,0.08980810702226755,0.03569732101371253,0.031838894198306565,0.8919127064486488,0.109976165235219,-0.012372546596862273,0.007197008676248791,0.007197008676219828,True,"[18, 19]","[799, 667]",1.071073440656778,1.259336199272556,0.012259562723962125,GOOD
1,3,2,0.5150900867659424,0.5044822898088772,50.31055189342267,0.09675982184921707,0.09675982184920351,0.036805725599946326,0.03377715247407075,0.9177146197633993,0.13680468734351656,-0.018257698934562253,0.01838546882528317,0.0183854688252899,True,"[17, 15]","[857, 845]",1.0323358686325461,1.3000579291764434,0.02156223571629288,GOOD
1,4,3,0.48076907338092917,0.4952961380558394,46.056903979052315,0.11954157032180512,0.11954157032178286,0.019843511637491727,0.01620872571615271,0.8168274855912316,0.08979294636200849,-0.012131241266547688,0.026344189546444553,0.026344189546454615,True,"[20, 19]","[447, 512]",1.016470442958366,1.3214704591415152,0.01472671587702617,GOOD
