step,one_step_cd,free_rollout_cd,hold_last_cd
1,0.037142492830753326,0.037142492830753326,0.037142492830753326
2,0.03078187070786953,0.03652060404419899,0.03078187070786953
3,0.030480824410915375,0.0362071730196476,0.030480824410915375
4,0.03161027282476425,0.03677336499094963,0.03161027282476425
5,0.031085800379514694,0.036191895604133606,0.031085800379514694
6,0.031112508848309517,0.03604670614004135,0.031112508848309517
7,0.03250761330127716,0.0368153341114521,0.03250761330127716
8,0.03054158389568329,0.03616918623447418,0.03054158389568329
9,0.03043881058692932,0.035665832459926605,0.03043881058692932
10,0.03078724443912506,0.03631829470396042,0.03078724443912506
11,0.03167727589607239,0.03570368140935898,0.03167727589607239
12,0.03102027252316475,0.036087021231651306,0.03102027252316475
13,0.032355621457099915,0.03748029097914696,0.032355621457099915
14,0.03196892887353897,0.03661163151264191,0.03196892887353897
15,0.03130076453089714,0.03362038731575012,0.03130076453089714
16,0.030956164002418518,0.03345009684562683,0.031163010746240616
17,0.0310004074126482,0.03345757722854614,0.031218070536851883
18,0.030394772067666054,0.035099469125270844,0.030553361400961876
19,0.030766405165195465,0.03425607457756996,0.03099791519343853
20,0.03010014444589615,0.03523632138967514,0.030368614941835403
21,0.03059866651892662,0.035002440214157104,0.03070465847849846
22,0.030433736741542816,0.03563477098941803,0.03066645935177803
23,0.030685678124427795,0.035146262496709824,0.03084714710712433
24,0.030303139239549637,0.03675875812768936,0.030506988987326622
25,0.030931968241930008,0.03611120581626892,0.03108094446361065
26,0.029749955981969833,0.037018030881881714,0.03027040883898735
27,0.03040718100965023,0.03718830645084381,0.030720481649041176
28,0.030455395579338074,0.03754480928182602,0.030646715313196182
29,0.03116999752819538,0.04001086950302124,0.03153202682733536
30,0.038890719413757324,0.053343772888183594,0.0390794575214386
31,0.037769533693790436,0.0400046743452549,0.038213327527046204
32,0.032224297523498535,0.04059461131691933,0.03238850086927414
33,0.031272001564502716,0.03941399231553078,0.031485043466091156
34,0.03178299218416214,0.03915754705667496,0.03193049877882004
35,0.03204531967639923,0.040852949023246765,0.03215101361274719
36,0.03155577927827835,0.04026029258966446,0.03169522434473038
37,0.031629227101802826,0.04017448425292969,0.031733445823192596
38,0.03134356066584587,0.040105707943439484,0.03155861422419548
39,0.03103494644165039,0.03863988816738129,0.031155206263065338
40,0.03112291358411312,0.03938288241624832,0.03125058487057686
