action_id,midpoint_x,midpoint_z,angle,angle_deg,target_gap,gripper_rate,actual_gap_f29,offset_along_axis,offset_perp_axis,compression_RMS,residual_RMS,normalized_residual,max_disp_f29,max_disp_f39,min_finger_clearance,finger_pin_distance,both_fingers_contact,first_contact_frame,height_ratio_f39,quality_class
0,0.44177791283858847,0.42392157900352234,0.7235416283902198,41.45588160878258,0.051563498387078674,0.01097394169354869,0.05156349838706145,0.006731738615825843,0.09556370268023573,0.013729889913498355,0.013024001242972363,0.9485874486268089,0.06425161760345649,0.0564272950340353,-0.013059769196532567,0.04504271000356088,True,"[23, 23]",1.1034710007946453,TOO_WEAK
1,0.583586162094864,0.5949710696728602,1.921439087581194,110.09035030987016,0.1742799485115088,0.008928667524808188,0.17427994851151538,-0.11790425563248648,0.04587741353112038,0.0456426874339114,0.03613262390977105,0.7916410260042093,0.13842767293695687,0.12417498405190872,-0.025486051434754235,-0.02196467178184068,False,"[None, 13]",1.130180528201299,PIN_COLLISION
2,0.49951275143767315,0.41364658459962755,1.8172705801206939,104.12193447420648,0.1072061460563656,0.010046564232393907,0.10720614605638057,0.08386258328763384,0.020596526085615706,0.0499266112183853,0.04085759126888656,0.8183529839461825,0.15276939406699047,0.13783444676483866,-0.04374273643967717,-0.044672170946034526,True,"[14, 28]",1.167514808500614,PIN_COLLISION
3,0.5857199874476047,0.5340780592795114,0.18541291512874916,10.623377504094657,0.06275299773999428,0.010787450037666763,0.06275299773996337,0.07796839350555482,0.04929665289285217,0.052142690163102655,0.04695098246186177,0.900432684140362,0.1730111892619101,0.1620281688044705,-0.025167624134521137,-0.020677650958547455,True,"[13, 26]",1.1814193865664528,PIN_COLLISION
4,0.48322415658904844,0.5787058847999944,1.4273566037571563,81.78150925541205,0.08788886654852061,0.010368518890857992,0.08788886654850137,-0.08029566628752607,0.005352681546758269,0.04179330199109035,0.023435708172423058,0.560752729645989,0.14866646727363061,0.12033590050385871,-0.04430072222335447,-0.05982884617498182,True,"[27, 14]",1.1668405037615057,PIN_COLLISION
5,0.4518862428338463,0.49333072583684534,2.915289632750471,167.03379201484574,0.19160873525664057,0.008639854412389325,0.1916087352566712,0.04838340727455827,0.004296364394595619,0.020853762638497877,0.018638441168797888,0.8937687405336477,0.07366909227998465,0.06453626880442107,-0.014431004017961303,0.02252076880208282,False,"[21, None]",1.1130453148198303,INVALID_GEOMETRY
6,0.548202816221089,0.4608516327799014,2.382298888148996,136.49567182964606,0.11552050645147519,0.009907991559142081,0.11552050645149897,-0.00801247812604276,0.06157845680043842,0.01496269858006685,0.01239994170749072,0.8287236183458104,0.06901803990435333,0.05831140876180224,-0.012525935166011241,0.04300020897444299,True,"[23, 21]",1.1052868976561185,TOO_WEAK
7,0.4004496229659703,0.41841511610126747,0.9725865998363624,55.72510738160265,0.18378405461146485,0.008770265756475586,0.18378405461148464,0.011354085750113478,0.12820864083659184,0.00010858483707113802,5.00242644523617e-05,0.46069290889656095,0.0013025976190396598,0.0003944419396348932,0.007657092334271476,0.10943586696976068,False,"[None, None]",1.0000198915286789,TOO_WEAK
8,0.5146371000264363,0.5812266379635554,1.6940316348936204,97.06086304105125,0.057397520105183376,0.010876707998246945,0.05739752010520016,-0.08240987135881556,0.00454142209774397,0.04763966420829348,0.027340422121771145,0.5739003953141113,0.16531612277856528,0.13375788148473564,-0.04446109643958282,-0.06496866581289204,True,"[26, 13]",1.1645073681789884,PIN_COLLISION
9,0.4265124034194596,0.5025409047355989,0.8283682014763043,47.46200182743489,0.17618559625446917,0.008896906729092182,0.17618559625448163,-0.051555634629727676,0.05242994932274552,0.02130723075635507,0.018150870944151604,0.8518643812377142,0.08393285785179772,0.07296576493434505,-0.014974236874372385,0.02693920062186394,True,"[29, 19]",1.1107352373459236,GOOD
